title,journal,date,doi,first_author,pdf_url,collections
Quantifying Extrinsic Curvature in Neural Manifolds,CVPR 2023,2023-04-24,10.48550/arXiv.2212.10414,Francisco Acosta,https://arxiv.org/pdf/2212.10414.pdf,"Topological Deep Learning | Miolane, Nina | Sanborn, Sophia"
Don't be Afraid of Cell Complexes! An Introduction from an Applied Perspective,arXiv,2025-06-11,10.48550/arXiv.2506.09726,Josef Hoppe,https://arxiv.org/pdf/2506.09726.pdf,"Topological Deep Learning | RWTH | Schaub, Michael"
Position: Topological Deep Learning is the New Frontier for Relational Learning,ICML 2024,2024-08-06,10.48550/arXiv.2402.08871,Theodore Papamarkou,https://arxiv.org/pdf/2402.08871.pdf,"Topological Deep Learning | AIDOS Lab | Helmholtz | RWTH | Miolane, Nina | Rieck, Bastian | Schaub, Michael | Veličković, Petar"
Geometry-Aware Edge Pooling for Graph Neural Networks,NeurIPS 2025,2026-01-12,10.48550/arXiv.2506.11700,Katharina Limbeck,https://arxiv.org/pdf/2506.11700.pdf,"Geometric Deep Learning | GNNs | AIDOS Lab | Helmholtz | Mila | TUM | Rieck, Bastian"
All the World's a (Hyper)Graph: A Data Drama,,2024-04-02,,Corinna Coupette,https://arxiv.org/pdf/2206.08225.pdf,"Helmholtz | MPI for Informatics | Rieck, Bastian"
Hypergraph Neural Sheaf Diffusion: A Symmetric Simplicial Set Framework for Higher-Order Learning,,2025,,Seongjin Choi,https://arxiv.org/pdf/2505.05702.pdf,Hypergraphs | Topological Deep Learning
TopoBench: A Framework for Benchmarking Topological Deep Learning,arXiv,2025-08-25,10.48550/arXiv.2406.06642,Lev Telyatnikov,https://arxiv.org/pdf/2406.06642.pdf,"Hypergraphs | Model Evaluation, Benchmarking | RWTH | Miolane, Nina | Schaub, Michael"
Counterfactual Diffusion Models for Mechanistic Explainability of Artificial Intelligence Models in Pathology,bioRxiv,2024-11-03,10.1101/2024.10.29.620913,Laura Žigutytė,https://www.biorxiv.org/content/10.1101/2024.10.29.620913.full.pdf,"Diffusion Models | Explainability, Interpretability | Full Workflows | RWTH | Kather, Jakob Nikolaus"
Deep Learning for Biomarker Discovery in Cancer Genomes,bioRxiv,2025-01-07,10.1101/2025.01.06.631471,Michaela Unger,https://www.biorxiv.org/content/10.1101/2025.01.06.631471.full.pdf,"AI-driven Biomarkers | DKFZ | Kather, Jakob Nikolaus"
Autonomous Artificial Intelligence Agents for Clinical Decision Making in Oncology,arXiv,2024-04-06,10.48550/arXiv.2404.04667,Dyke Ferber,https://arxiv.org/pdf/2404.04667.pdf,"Agentic AI | Google | DKFZ | RWTH | TUM | Kather, Jakob Nikolaus"
From Whole-slide Image to Biomarker Prediction: A Protocol for End-to-End Deep Learning in Computational Pathology,arXiv,2023-12-18,10.48550/arXiv.2312.10944,Omar S. M. El Nahhas,https://arxiv.org/pdf/2312.10944.pdf,"AI-driven Biomarkers | Full Workflows | Helmholtz | TUM | Kather, Jakob Nikolaus"
Customizing GPT-4 for clinical information retrieval from standard operating procedures,medRxiv,2024-06-24,10.1101/2024.06.24.24309221,Hannah Sophie Muti,https://www.medrxiv.org/content/10.1101/2024.06.24.24309221.full.pdf,"LLMs, NLP | DKFZ | Kather, Jakob Nikolaus"
HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics Data,arXiv,2025-12-11,10.48550/arXiv.2506.11152,Hiren Madhu,https://arxiv.org/pdf/2506.11152.pdf,Cell Graphs | Graph Foundation Models | Full Workflows | Yale | HEIST
A Graph-Based Framework for Interpretable Whole Slide Image Analysis,arXiv,2025-10-06,10.48550/arXiv.2503.11846,Alexander Weers,https://arxiv.org/pdf/2503.11846.pdf,"Cell Graphs | Graph Foundation Models | Full Workflows | MCML | TUM | Schüffler, Peter"
Leveraging Tumor Heterogeneity: Heterogeneous Graph Representation Learning for Cancer Survival Prediction in Whole Slide Images,NeurIPS 2024,2024/11/06,,Junxian Wu,,Tumor Heterogeneity | Cell Graphs | Survival Learning | ProtoSurv
Topograph: An efficient Graph-Based Framework for Strictly Topology Preserving Image Segmentation,ICLR 2025,2025-04-17,10.48550/arXiv.2411.03228,Laurin Lux,https://arxiv.org/pdf/2411.03228.pdf,Instance Segmentation | Image Segmentation and Classification | MCML | TUM | Topograph
Deciphering Cellular Ecosystems Driving Tumor Progression and Immune Escape from Spatial Transcriptomics and Single-Cell with COMPOTES,bioRxiv,2025-10-27,10.1101/2025.10.27.684744,Loïc Herpin,https://www.biorxiv.org/content/10.1101/2025.10.27.684744.full.pdf,Bladder Cancer | Spatialomics | Cancer Progression | Tumor Microenvironment | Spatial Analysis | Owkin | MOSAIC | COMPOTES
In Situ Inference of Copy Number Variations in Image-Based Spatial Transcriptomics,bioRxiv,2025-07-05,10.1101/2025.07.02.662761,Augusta Jensen,https://www.biorxiv.org/content/10.1101/2025.07.02.662761.full.pdf,Cancer Progression | Tumor Microenvironment | Helmholtz | SciLifeLab
"Comprehensive analysis of tumour initiation, spatial and temporal progression under multiple lines of treatment",bioRxiv,2019-02-16,10.1101/508127,Ignaty Leshchiner,https://www.biorxiv.org/content/10.1101/508127.full.pdf,Cancer Progression | Novartis | Broad Institute | HMS | MIT
Spatial Morphoproteomic Features Predict Uniqueness of Immune Microarchitectures and Responses in Lymphoid Follicles,bioRxiv,2024-01-07,10.1101/2024.01.05.574186,Thomas Hu,https://www.biorxiv.org/content/10.1101/2024.01.05.574186.full.pdf,"B Cells | TLS | mIF | Tumor Architecture | GNNs | Cell Graphs | Spatial Analysis | Coskun, Ahmet | SNOWFLAKE"
Spatial Deconvolution of HER2-positive Breast Tumors Reveals Novel Intercellular Relationships,bioRxiv,2020-07-14,10.1101/2020.07.14.200600,Alma Andersson,https://www.biorxiv.org/content/10.1101/2020.07.14.200600.full.pdf,HER2 | TLS | Breast Cancer | H&E | Spatial Analysis | Karolinska | SciLifeLab
SANSA: Unleashing the Hidden Semantics in SAM2 for Few-Shot Segmentation,arXiv,2025-05-27,10.48550/arXiv.2505.21795,Claudia Cuttano,https://arxiv.org/pdf/2505.21795.pdf,Semantic Segmentation | Politecnico Torino
PhenoBench: A Comprehensive Benchmark for Cell Phenotyping,MICCAI 2025,2025-07-17,10.48550/arXiv.2507.03532,Nora Koreuber,https://arxiv.org/pdf/2507.03532.pdf,"B Cells | T Cells | H&E | Foundation Models | Instance Segmentation | Model Evaluation, Benchmarking | Helmholtz | PhenoBench"
Computational pathology infers clinically relevant protein levels and drug response in breast cancer by weakly supervised contrastive learning,bioRxiv,2023-04-30,10.1101/2023.04.13.536819,Hui Liu,https://www.biorxiv.org/content/10.1101/2023.04.13.536819.full.pdf,HER2 | Breast Cancer | H&E | Contrastive Learning | Weakly Supervised
A tissue and cell-level annotated H&E and PD-L1 histopathology image dataset in non-small cell lung cancer,arXiv,2025-07-21,10.48550/arXiv.2507.16855,Joey Spronck,https://arxiv.org/pdf/2507.16855.pdf,PD-L1 | NSCLC | H&E | Tumor Microenvironment | Datasets
A deep learning and graph-based approach to characterise the immunological landscape and spatial architecture of colon cancer tissue,bioRxiv,2022-07-07,10.1101/2022.07.06.498984,Mario Parreno-Centeno,https://www.biorxiv.org/content/10.1101/2022.07.06.498984.full.pdf,CRC | H&E | Tumor Architecture | Graph-based
Deep Learning for Biomarker Discovery in Cancer Genomes,bioRxiv,2025-01-07,10.1101/2025.01.06.631471,Michaela Unger,,"AI-driven Biomarkers | Genomes | DKFZ | Kather, Jakob Nikolaus"
HistoPrism: Unlocking Functional Pathway Analysis from Pan-Cancer Histology via Gene Expression Prediction,ICLR 2026,2026-01-29,10.48550/arXiv.2601.21560,Susu Hu,https://arxiv.org/pdf/2601.21560.pdf,"Pan-Cancer | H&E | Transformers | Full Workflows | DKFZ | HMS | Kather, Jakob Nikolaus | HistoPrism"
Multimodal Whole Slide Foundation Model for Pathology,arXiv,2024-11-29,10.48550/arXiv.2411.19666,Tong Ding,https://arxiv.org/pdf/2411.19666.pdf,"Pan-Cancer | Multimodality | Foundation Models | Self-supervised | Full Workflows | Broad Institute | Helmholtz | HMS | MIT | Mahmood, Faisal | TITAN"
Towards a Visual-Language Foundation Model for Computational Pathology,arXiv,2023-07-25,10.48550/arXiv.2307.12914,Ming Y. Lu,https://arxiv.org/pdf/2307.12914.pdf,"Pan-Cancer | Multimodality | Foundation Models | Self-supervised | Full Workflows | HMS | Mahmood, Faisal | CONCH"
A General-Purpose Self-Supervised Model for Computational Pathology,arXiv,2023-08-29,10.48550/arXiv.2308.15474,Richard J. Chen,https://arxiv.org/pdf/2308.15474.pdf,"Pan-Cancer | Foundation Models | Self-supervised | Full Workflows | HMS | Mahmood, Faisal | UNI"
Quantitative Calibration of a Spatial QSP Model Identifies Fibroblast Impact on HCC Immunotherapy,bioRxiv,2025-11-04,10.1101/2025.10.31.685939,Shuming Zhang,https://www.biorxiv.org/content/10.1101/2025.10.31.685939.full.pdf,"Fibroblasts | T Cells | HCC | Spatialomics | Spatial Biomarkers | Tumor Microenvironment | Deshpande, Atul | Popel, Sasha"
CD4⁺ T cells confer transplantable rejuvenation via Rivers of telomeres,bioRxiv,2025-11-16,10.1101/2025.11.14.688504,Alessio Lanna,https://www.biorxiv.org/content/10.1101/2025.11.14.688504.full.pdf,CD4 | T Cells | Senescence
SAGE: Agentic Framework for Interpretable and Clinically Translatable Computational Pathology Biomarker Discovery,arXiv,2026-02-01,10.48550/arXiv.2602.00953,Sahar Almahfouz Nasser,https://arxiv.org/pdf/2602.00953.pdf,"AI-driven Biomarkers | Agentic AI | Explainability, Interpretability"
